## reporting unit PofZ values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 999  NumValuesInAverage= 998
IndivName	ValueType	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
KANVI07_33	Posterior.Mean	0.00005231	0.00000000	0.00000000	0.81282509	0.18712260
KANVI07_33	SD	0.00000958	0.00000000	0.00000000	0.02672687	0.02672181
KANVI07_34	Posterior.Mean	0.00016980	0.00000000	0.00000000	0.82377789	0.17605231
KANVI07_34	SD	0.00002318	0.00000000	0.00000000	0.02082823	0.02081531
KANVI07_35	Posterior.Mean	0.00570260	0.00000000	0.00000000	0.92869481	0.06560259
KANVI07_35	SD	0.00109039	0.00000000	0.00000000	0.01256883	0.01184019
KANVI07_36	Posterior.Mean	0.00000007	0.00000000	0.00000000	0.99999451	0.00000542
KANVI07_36	SD	0.00000002	0.00000000	0.00000000	0.00000096	0.00000095
KANVI07_37	Posterior.Mean	0.00082975	0.00000000	0.00000000	0.94321623	0.05595401
KANVI07_37	SD	0.00017923	0.00000000	0.00000000	0.00958334	0.00946266
KANVI07_38	Posterior.Mean	0.00000046	0.00000000	0.00000000	0.99988206	0.00011748
KANVI07_38	SD	0.00000009	0.00000000	0.00000000	0.00002403	0.00002396
KANVI07_39	Posterior.Mean	0.00232332	0.00000000	0.00000000	0.89718889	0.10048779
KANVI07_39	SD	0.00048127	0.00000000	0.00000000	0.01753412	0.01722037
KANVI07_40	Posterior.Mean	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000
KANVI07_40	SD	0.00000000	-nan	0.00000000	0.00000000	0.00000000
KANVI07_41	Posterior.Mean	0.00024405	0.00000000	0.00000000	0.98082215	0.01893381
KANVI07_41	SD	0.00003363	0.00000000	0.00000000	0.00247060	0.00244855
KANVI07_42	Posterior.Mean	0.00036451	0.00000000	0.00000000	0.99800933	0.00162616
KANVI07_42	SD	0.00007925	0.00000000	0.00000000	0.00035801	0.00029857
KANVI07_43	Posterior.Mean	0.00287810	0.00000000	0.00000000	0.33596724	0.66115465
KANVI07_43	SD	0.00042549	0.00000000	0.00000000	0.03250808	0.03247774
KANVI07_44	Posterior.Mean	0.00154138	0.00000000	0.00000022	0.99247031	0.00598808
KANVI07_44	SD	0.00033373	0.00000000	0.00000004	0.00137427	0.00112708
KANVI07_45	Posterior.Mean	0.05035793	0.00000000	0.00000000	0.85266769	0.09697437
KANVI07_45	SD	0.00862669	0.00000000	0.00000000	0.01725799	0.01158638
KANVI07_46	Posterior.Mean	0.00812139	0.00000000	0.00000000	0.75384910	0.23802952
KANVI07_46	SD	0.00163839	0.00000000	0.00000000	0.03576802	0.03499501
KANVI07_47	Posterior.Mean	0.00005077	0.00000000	0.00000000	0.75629536	0.24365387
KANVI07_47	SD	0.00000948	0.00000000	0.00000000	0.03305187	0.03304621
KANVI07_48	Posterior.Mean	0.00000096	0.00000000	0.00000000	0.99989138	0.00010766
KANVI07_48	SD	0.00000019	0.00000000	0.00000000	0.00001961	0.00001946
KANVI07_49	Posterior.Mean	0.00000999	0.00000000	0.00000000	0.97996490	0.02002511
KANVI07_49	SD	0.00000185	0.00000000	0.00000000	0.00363053	0.00362910
KANVI07_50	Posterior.Mean	0.00000002	0.00000000	0.00000000	0.99995881	0.00004117
KANVI07_50	SD	0.00000000	0.00000000	0.00000000	0.00000852	0.00000852
KANVI07_51	Posterior.Mean	0.16051841	0.00000000	0.00000000	0.80675210	0.03272949
KANVI07_51	SD	0.02363789	0.00000000	0.00000000	0.02479720	0.00402929
KANVI07_52	Posterior.Mean	0.00000001	0.00000000	0.00000000	0.99999672	0.00000327
KANVI07_52	SD	0.00000000	0.00000000	0.00000000	0.00000060	0.00000060
KAROL05_1	Posterior.Mean	0.00004700	0.00000000	0.00000000	0.00011718	0.99983582
KAROL05_1	SD	0.00000721	0.00000000	0.00000000	0.00001529	0.00001937
KAROL05_2	Posterior.Mean	0.00005197	0.00000000	0.00000000	0.00771067	0.99223735
KAROL05_2	SD	0.00000821	0.00000000	0.00000000	0.00119484	0.00119955
KAROL05_3	Posterior.Mean	0.00124128	0.00000000	0.00000000	0.00789839	0.99086033
KAROL05_3	SD	0.00021464	0.00000000	0.00000000	0.00139022	0.00153398
KAROL05_4	Posterior.Mean	0.00083207	0.00000000	0.00000000	0.00028899	0.99887894
KAROL05_4	SD	0.00017154	0.00000000	0.00000000	0.00005236	0.00020679
KAROL05_5	Posterior.Mean	0.01230465	0.00000000	0.00000000	0.00116218	0.98653317
KAROL05_5	SD	0.00176536	0.00000000	0.00000000	0.00014886	0.00180228
KAROL05_6	Posterior.Mean	0.01362096	0.00000000	0.00000000	0.01462945	0.97174960
KAROL05_6	SD	0.00254903	0.00000000	0.00000000	0.00256508	0.00439672
KAROL05_7	Posterior.Mean	0.00014317	0.00000000	0.00000000	0.00151960	0.99833723
KAROL05_7	SD	0.00002926	0.00000000	0.00000000	0.00023584	0.00025325
KAROL05_8	Posterior.Mean	0.00792773	0.00000000	0.00000000	0.00370081	0.98837146
KAROL05_8	SD	0.00153021	0.00000000	0.00000000	0.00068459	0.00198503
KAROL05_9	Posterior.Mean	0.00006043	0.00000000	0.00000000	0.00230126	0.99763831
KAROL05_9	SD	0.00000694	0.00000000	0.00000000	0.00023417	0.00023638
KAROL05_10	Posterior.Mean	0.00004472	0.00000000	0.00000000	0.00199649	0.99795878
