## trace file of population Pi values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 20000 ThinningInterval= 20
SweepNumber	KANDR03	KANVI07	KAROL05	KBIGCK04	KBIGS07	KEEK05	KGAGA06	KGEOR05	KGISA01	KGOLS06	KGONF06	KHENS01	KIOW10	KKANE05	KKANT05	KKISA05	KKLUTU09	KKOGR05	KKOGR07	KKOKT10	KNECO07	KNORTH10	KPILG0506	KSALC05	KSALM06	KSTUY09	KTOGRT09	KTUBU09
1240	0.05306074	0.01538449	0.01871780	0.02884943	0.03562487	0.04188103	0.04272456	0.02882730	0.03656802	0.02813468	0.04168023	0.03644855	0.02109417	0.03996134	0.03934028	0.04052254	0.04331340	0.01194690	0.03725748	0.04556204	0.05344172	0.02456468	0.02475627	0.04320399	0.04716914	0.03812109	0.04483716	0.03700607
1260	0.05437119	0.01889219	0.02792342	0.03283868	0.02838681	0.02623842	0.04005493	0.04240733	0.03697663	0.02161207	0.03215113	0.04222531	0.01484449	0.05394095	0.04111902	0.04105949	0.04098720	0.02722477	0.04674028	0.04069998	0.04581221	0.02233805	0.01864447	0.03945940	0.03871205	0.02954506	0.05978546	0.03500902
1280	0.04388326	0.02953440	0.02124959	0.02676824	0.03285878	0.02446410	0.03981302	0.03423862	0.03602796	0.02897275	0.03559811	0.03681441	0.01515407	0.04691431	0.04069427	0.05362775	0.03849803	0.02412830	0.05446846	0.04563126	0.04086342	0.02094983	0.02123276	0.05104177	0.03487825	0.03349228	0.04812044	0.04008155
1300	0.04099784	0.01629204	0.02355729	0.02339936	0.03187976	0.03905973	0.03849100	0.04550980	0.03570129	0.02414965	0.04703652	0.03830478	0.02707672	0.04193595	0.04009708	0.04701597	0.04756970	0.01973235	0.05089316	0.04255023	0.04549157	0.02770946	0.02029044	0.04308634	0.03239568	0.03637192	0.04362739	0.02977701
1320	0.04834511	0.01545396	0.01629396	0.02080901	0.02875495	0.03173222	0.04739945	0.05346088	0.04127266	0.02425496	0.04320894	0.04005377	0.01722634	0.03983065	0.03817224	0.04357265	0.03659459	0.01812028	0.04656891	0.04541219	0.05365943	0.02695897	0.02015362	0.04861935	0.03683435	0.04227019	0.04267972	0.03228666
1340	0.04574478	0.02063213	0.02861924	0.02083931	0.02656437	0.03318012	0.03667469	0.04595666	0.04199697	0.02530014	0.04564290	0.03904116	0.02512035	0.04709581	0.04034791	0.04718952	0.04284797	0.01942996	0.03961322	0.04844710	0.04129447	0.02871092	0.02836856	0.03655678	0.02550559	0.03667643	0.04376472	0.03883822
1360	0.04629703	0.02202815	0.02539050	0.02357019	0.03221462	0.03553117	0.04340304	0.03604431	0.03899570	0.02574263	0.04942881	0.04215255	0.01606921	0.03964018	0.04165464	0.03172743	0.04133447	0.02756264	0.03594543	0.04557653	0.05443772	0.02515184	0.02431160	0.04225683	0.03953306	0.03792681	0.04343296	0.03263994
1380	0.05915076	0.02570328	0.03151372	0.01973681	0.03467039	0.04232188	0.03232943	0.03374512	0.04290306	0.02426841	0.03136668	0.04046622	0.02195216	0.03435150	0.03557036	0.03053952	0.04141749	0.02042817	0.05395086	0.04534815	0.04701233	0.02234020	0.02228266	0.04576741	0.03439094	0.03188240	0.05220644	0.04238365
1400	0.04082374	0.02087500	0.02385115	0.02199532	0.03917276	0.03237376	0.03691023	0.04032559	0.04270209	0.01946002	0.03658285	0.03829957	0.01943583	0.05877270	0.03957537	0.04161896	0.03262326	0.02360393	0.04413871	0.04437876	0.05001995	0.02308635	0.02151122	0.03502212	0.04491358	0.03727982	0.04922234	0.04142503
1420	0.04772740	0.02107634	0.02350677	0.02331450	0.03775045	0.02520621	0.04086011	0.04997933	0.03991139	0.02105421	0.03142717	0.03166209	0.03488038	0.05147780	0.04816723	0.03865809	0.04666513	0.02250083	0.04205068	0.03888270	0.04967677	0.02332332	0.02168991	0.03154845	0.04170738	0.03661954	0.04996395	0.02871186
